,gap_expt_eV,material
id0,2.6759806,BaCeS3
id1,1.7632749,BaUS3
id2,1.5102315,EuUS3
id3,1.0306664,EuUSe3
id4,1.7875733,EuInS3
id5,1.2855334,EuInSe3
id6,1.3329746,PrPbS3
id7,1.8049538,CePbS3
id8,1.3801272,UPbS3
id9,2.400268,SrPrS3
id10,2.9458528,SrCeS3
id11,2.1807494,SrUS3
id12,1.1908686,SrUSe3
id13,2.6402817,CaPrS3
id14,1.6238433,CaPrSe3
id15,2.3918748,CaCeSe3
id16,0.59815866,TbSnS3
id17,-0.48740155,TbSnSe3
id18,1.1443831,PrCdS3
id19,-0.2275309,PrCdSe3
id20,0.24147835,CeCdSe3
id21,0.5018944,ScCuSe3
id22,1.3500056,TbCuS3
id23,0.73954076,TbCuSe3
id24,1.5373948,FeCuS3
id25,0.7448843,FeCuSe3
id26,2.4852395,MgVS3
id27,1.3980225,MgVSe3
id28,2.5896444,MgRhS3
id29,1.7528949,MgRhSe3
id30,1.2148494,MgTiS3
id31,-0.49399522,MgTiSe3
id32,0.9807099,MgRuS3
id33,-0.24401662,MgRuSe3
id34,2.5264404,MgMoS3
id35,2.055952,MgMoSe3
id36,1.8113467,MgTaS3
id37,1.4970572,MgTaSe3
id38,2.32496,MgNbS3
id39,1.8188602,MgNbSe3
id40,1.8556852,MgPtS3
id41,1.5369959,MgPtSe3
id42,2.1659172,MgPdS3
id43,1.1965084,MgPdSe3
id44,1.241112,MgCrSe3
id45,2.0913289,VZnS3
id46,0.91830575,VZnSe3
id47,2.133812,ZnRhS3
id48,0.9298115,ZnRhSe3
id49,1.0287116,TiZnS3
id50,0.48941806,TiZnSe3
id51,0.78151095,ZnRuS3
id52,0.29813907,ZnRuSe3
id53,2.3353436,ZnMoS3
id54,1.4638673,ZnMoSe3
id55,1.5477414,TaZnS3
id56,0.97888136,TaZnSe3
id57,2.1309624,NbZnS3
id58,1.5257006,NbZnSe3
id59,2.4271336,HfZnSe3
id60,1.6612054,ZnPtS3
id61,0.6423693,ZnPtSe3
id62,1.7659514,ZnPdS3
id63,0.22579384,ZnPdSe3
id64,0.8348476,LaYbS3
id65,0.6244083,LaYbSe3
id66,2.3535724,LaErSe3
id67,2.2722354,LaTmSe3
id68,-0.09317582,LaLuS3
id69,1.1440444,LaLuSe3
id70,2.0483818,LaTlSe3
id71,0.9294167,YbPrSe3
id72,1.1952672,PrLuSe3
id73,1.6918492,YbCeSe3
id74,-0.14577542,CeTmSe3
id75,0.8575866,CeLuS3
id76,-0.48074716,CeLuSe3
id77,0.21984643,NdLuSe3
id78,0.9339727,NdInS3
id79,0.4723671,YbBiS3
id80,-0.38850653,YbBiSe3
id81,0.81175613,GdInS3
id82,-0.5017631,GdInSe3
id83,-0.15666293,SmInS3
id84,1.9759436,SmInSe3
id85,1.7081249,YBiSe3
id86,0.35282993,DyInS3
id87,-0.65801793,DyInSe3
id88,0.94914377,HoBiSe3
id89,1.5735179,ErBiSe3
id90,-0.57409555,TmBiS3
id91,0.8503865,TmBiSe3
id92,-0.58875954,LuBiS3
id93,1.9831696,LuBiSe3
id94,0.3632475,ScMnSe3
id95,0.7165187,TlInS3
id96,-0.6886346,TlInSe3
id97,1.0286893,TiRhSe3
id98,1.0006828,RuRhSe3
id99,1.5061934,GaRhS3
id100,1.2786292,GaRhSe3
id101,2.147759,AlRhS3
id102,1.8707783,AlRhSe3
id103,1.4944189,FeRhS3
id104,1.2012523,FeRhSe3
id105,1.6079595,CrRhS3
id106,1.2234874,CrRhSe3
id107,0.7257559,TbInS3
id108,-0.5033044,TbInSe3
id109,0.80128056,CoNiSe3
id110,1.6367202,CrNiS3
id111,0.91840863,CrNiSe3
id112,3.0055358,AlGaS3
id113,2.4335237,AlGaSe3
id114,1.1937364,GaFeSe3
id115,1.1540476,CrGaS3
id116,0.63618904,CrGaSe3
id117,0.2725647,MnGaSe3
id118,1.7264084,CrFeS3
id119,1.1073992,CrFeSe3
id120,0.8672734,MnFeSe3
id121,1.2722507,MnInS3
id122,0.19412711,MnInSe3
